ticker;data_com;data_pagamento;valor_por_cota
PMLL11;31/05/2019;14/06/2019;0.6
VISC11;31/05/2019;14/06/2019;0.56
XPLG11;31/05/2019;14/06/2019;0.61
BTLG11;17/06/2019;25/06/2019;0.41094368
XPML11;17/06/2019;25/06/2019;0.54
TGAR11;28/06/2019;08/07/2019;1.01
HGLG11;28/06/2019;12/07/2019;0.75
HGRU11;28/06/2019;12/07/2019;0.68
KNRI11;28/06/2019;12/07/2019;0.74
XPLG11;28/06/2019;12/07/2019;0.61
PMLL11;28/06/2019;15/07/2019;0.6
VISC11;28/06/2019;15/07/2019;0.55
BTLG11;15/07/2019;25/07/2019;0.37310506
XPML11;18/07/2019;25/07/2019;0.56
TGAR11;31/07/2019;08/08/2019;0.8
HGLG11;31/07/2019;14/08/2019;0.75
HGRU11;31/07/2019;14/08/2019;0.68
KNRI11;31/07/2019;14/08/2019;0.74
PMLL11;31/07/2019;14/08/2019;0.6
VISC11;31/07/2019;14/08/2019;0.65
XPLG11;31/07/2019;14/08/2019;0.61
XPML11;14/08/2019;21/08/2019;0.57
BTLG11;15/08/2019;23/08/2019;0.41314732
TGAR11;30/08/2019;09/09/2019;0.86
HGLG11;30/08/2019;13/09/2019;0.75
HGRU11;30/08/2019;13/09/2019;0.68
KNRI11;30/08/2019;13/09/2019;0.74
PMLL11;30/08/2019;13/09/2019;0.61
VISC11;30/08/2019;13/09/2019;0.92
XPLG11;30/08/2019;13/09/2019;0.61
BTLG11;16/09/2019;25/09/2019;0.40769459
XPML11;18/09/2019;25/09/2019;0.57
TGAR11;30/09/2019;08/10/2019;0.9
HGLG11;30/09/2019;14/10/2019;0.78
HGRU11;30/09/2019;14/10/2019;0.68
KNRI11;30/09/2019;14/10/2019;0.74
PMLL11;30/09/2019;14/10/2019;0.56
VISC11;30/09/2019;14/10/2019;0.92
XPLG11;30/09/2019;14/10/2019;0.61
BTLG11;15/10/2019;23/10/2019;0.36
XPML11;18/10/2019;25/10/2019;0.59
TGAR11;31/10/2019;08/11/2019;0.93
HGLG11;31/10/2019;14/11/2019;0.78
HGRU11;31/10/2019;14/11/2019;0.68
KNRI11;31/10/2019;14/11/2019;0.74
PMLL11;31/10/2019;14/11/2019;0.43
VISC11;31/10/2019;14/11/2019;0.63
XPLG11;31/10/2019;14/11/2019;0.64
BTLG11;14/11/2019;25/11/2019;0.4
XPML11;14/11/2019;25/11/2019;0.59
TGAR11;29/11/2019;09/12/2019;0.99
HGLG11;29/11/2019;13/12/2019;0.78
HGRU11;29/11/2019;13/12/2019;0.68
KNRI11;29/11/2019;13/12/2019;0.74
PMLL11;29/11/2019;13/12/2019;0.34
VISC11;29/11/2019;13/12/2019;0.63
XPLG11;29/11/2019;13/12/2019;0.64
BTLG11;13/12/2019;23/12/2019;0.4
XPML11;16/12/2019;23/12/2019;0.52
TGAR11;30/12/2019;08/01/2020;1.35
HGLG11;30/12/2019;15/01/2020;0.78
HGRU11;30/12/2019;15/01/2020;0.74
KNRI11;30/12/2019;15/01/2020;0.74
PMLL11;30/12/2019;15/01/2020;0.36
VISC11;30/12/2019;15/01/2020;0.77
XPLG11;30/12/2019;15/01/2020;0.64
BTLG11;15/01/2020;24/01/2020;0.73816481
XPML11;17/01/2020;24/01/2020;0.61
BRCO11;31/01/2020;07/02/2020;0.55786762
TGAR11;31/01/2020;10/02/2020;0.57
HGLG11;31/01/2020;14/02/2020;0.78
HGRU11;31/01/2020;14/02/2020;0.68
KNRI11;31/01/2020;14/02/2020;0.74
PMLL11;31/01/2020;14/02/2020;0.81
VISC11;31/01/2020;14/02/2020;0.63
XPLG11;31/01/2020;14/02/2020;0.64
BTLG11;14/02/2020;21/02/2020;0.6
XPML11;14/02/2020;21/02/2020;0.5
BRCO11;28/02/2020;06/03/2020;0.55
TGAR11;28/02/2020;09/03/2020;0.7
HGLG11;28/02/2020;13/03/2020;0.78
HGRU11;28/02/2020;13/03/2020;0.68
KNRI11;28/02/2020;13/03/2020;0.74
PMLL11;28/02/2020;13/03/2020;0.5
TRXF11;28/02/2020;13/03/2020;0.57304389
VISC11;28/02/2020;13/03/2020;0.63
XPLG11;28/02/2020;13/03/2020;0.64
BTLG11;13/03/2020;25/03/2020;0.6
BRCO11;31/03/2020;07/04/2020;0.55
TGAR11;31/03/2020;08/04/2020;0.82
TRXF11;31/03/2020;14/04/2020;0.67
VISC11;31/03/2020;14/04/2020;0.3
XPLG11;31/03/2020;14/04/2020;0.58
HGLG11;31/03/2020;15/04/2020;0.78
HGRU11;31/03/2020;15/04/2020;0.68
KNRI11;31/03/2020;15/04/2020;0.65
PMLL11;31/03/2020;15/04/2020;0.4
BTLG11;15/04/2020;24/04/2020;0.5
BRCO11;30/04/2020;08/05/2020;0.565
TGAR11;30/04/2020;11/05/2020;0.8
HGLG11;30/04/2020;15/05/2020;0.78
HGRU11;30/04/2020;15/05/2020;0.68
KNRI11;30/04/2020;15/05/2020;0.65
PMLL11;30/04/2020;15/05/2020;0.12
TRXF11;30/04/2020;15/05/2020;0.67
VISC11;30/04/2020;15/05/2020;0.27
XPLG11;30/04/2020;15/05/2020;0.54
BTLG11;15/05/2020;25/05/2020;0.5
BRCO11;29/05/2020;05/06/2020;0.5571
TGAR11;29/05/2020;08/06/2020;1.25
HGLG11;29/05/2020;12/06/2020;0.78
HGRU11;29/05/2020;12/06/2020;0.68
PMLL11;29/05/2020;12/06/2020;0.11
TRXF11;29/05/2020;12/06/2020;0.67
KNRI11;29/05/2020;15/06/2020;0.65
VISC11;29/05/2020;15/06/2020;0.23
XPLG11;29/05/2020;15/06/2020;0.54
BTLG11;15/06/2020;25/06/2020;0.5
XPML11;18/06/2020;25/06/2020;0.27
BRCO11;30/06/2020;07/07/2020;0.56
TGAR11;30/06/2020;08/07/2020;1.23
HGLG11;30/06/2020;14/07/2020;0.78
HGRU11;30/06/2020;14/07/2020;0.68
KNRI11;30/06/2020;14/07/2020;0.65
PMLL11;30/06/2020;14/07/2020;0.14
TRXF11;30/06/2020;14/07/2020;0.67
VISC11;30/06/2020;14/07/2020;0.19
XPLG11;30/06/2020;15/07/2020;0.57
BTLG11;15/07/2020;24/07/2020;0.5
XPML11;17/07/2020;24/07/2020;0.41
BRCO11;31/07/2020;07/08/2020;0.55
TGAR11;31/07/2020;10/08/2020;1.14
HGLG11;31/07/2020;14/08/2020;0.78
HGRU11;31/07/2020;14/08/2020;0.68
KNRI11;31/07/2020;14/08/2020;0.65
PMLL11;31/07/2020;14/08/2020;0.15
TRXF11;31/07/2020;14/08/2020;0.65898122
VISC11;31/07/2020;14/08/2020;0.18
XPLG11;31/07/2020;14/08/2020;0.58
BTLG11;14/08/2020;25/08/2020;0.5
XPML11;18/08/2020;25/08/2020;0.03
BRCO11;31/08/2020;08/09/2020;0.55
TGAR11;31/08/2020;08/09/2020;1.09
HGLG11;31/08/2020;15/09/2020;0.78
HGRU11;31/08/2020;15/09/2020;0.68
KNRI11;31/08/2020;15/09/2020;0.65
PMLL11;31/08/2020;15/09/2020;0.3
TRXF11;31/08/2020;15/09/2020;0.34
VISC11;31/08/2020;15/09/2020;0.15
XPLG11;31/08/2020;15/09/2020;0.58
BTLG11;15/09/2020;25/09/2020;0.33
XPML11;18/09/2020;25/09/2020;0.18
BRCO11;30/09/2020;07/10/2020;0.55
PVBI11;30/09/2020;07/10/2020;0.45
TGAR11;30/09/2020;08/10/2020;1
FATN11;06/10/2020;15/10/2020;0.61
HGLG11;30/09/2020;15/10/2020;0.6
HGRU11;30/09/2020;15/10/2020;0.68
KNRI11;30/09/2020;15/10/2020;0.65
PMLL11;30/09/2020;15/10/2020;0.35
TRXF11;30/09/2020;15/10/2020;0.45
VISC11;30/09/2020;15/10/2020;0.2
XPLG11;30/09/2020;15/10/2020;0.58
BTLG11;15/10/2020;23/10/2020;0.6
XPML11;16/10/2020;23/10/2020;0.26
BRCO11;30/10/2020;09/11/2020;0.55
PVBI11;30/10/2020;09/11/2020;0.48
TGAR11;30/10/2020;10/11/2020;1.1
XPLG11;30/10/2020;13/11/2020;0.58
FATN11;06/11/2020;16/11/2020;0.57
HGLG11;30/10/2020;16/11/2020;0.78
HGRU11;30/10/2020;16/11/2020;0.68
KNRI11;30/10/2020;16/11/2020;0.65
PMLL11;30/10/2020;16/11/2020;0.48
TRXF11;30/10/2020;16/11/2020;0.7
VISC11;30/10/2020;16/11/2020;0.375
BTLG11;13/11/2020;25/11/2020;0.6
XPML11;18/11/2020;25/11/2020;0.42
BRCO11;30/11/2020;07/12/2020;0.55
PVBI11;30/11/2020;07/12/2020;0.47
TGAR11;30/11/2020;08/12/2020;1.12
BTLG11;04/12/2020;11/12/2020;0.6
FATN11;04/12/2020;14/12/2020;0.57
HGLG11;30/11/2020;14/12/2020;0.78
HGRU11;30/11/2020;14/12/2020;0.68
KNRI11;30/11/2020;14/12/2020;0.65
PMLL11;30/11/2020;14/12/2020;0.58
